	                {[S -> .function functions, $]}	0	{[S -> .function functions, $]; [function -> .type id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(0, function)	{[S -> function.functions, $]}	1	{[S -> function.functions, $]; [functions -> .function functions, $]; [functions -> .$, $]; [function -> .type id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(0, type)	{[function -> type.id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]}	2	{[function -> type.id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]}
goto(0, int)	{[type -> int., id]}	3	{[type -> int., id]}
goto(0, short)	{[type -> short., id]}	4	{[type -> short., id]}
goto(0, long)	{[type -> long., id]}	5	{[type -> long., id]}
goto(0, char)	{[type -> char., id]}	6	{[type -> char., id]}
goto(0, float)	{[type -> float., id]}	7	{[type -> float., id]}
goto(0, double)	{[type -> double., id]}	8	{[type -> double., id]}
goto(0, void)	{[type -> void., id]}	9	{[type -> void., id]}
goto(0, unsigned)	{[type -> unsigned.type, id]}	10	{[type -> unsigned.type, id]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(1, functions)	{[S -> function functions., $]}	11	{[S -> function functions., $]}
goto(1, function)	{[functions -> function.functions, $]}	12	{[functions -> function.functions, $]; [functions -> .function functions, $]; [functions -> .$, $]; [function -> .type id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(1, $)	{[functions -> $., $]}	13	{[functions -> $., $]}
goto(1, type)	{[function -> type.id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]}	2	 
goto(1, int)	{[type -> int., id]}	3	 
goto(1, short)	{[type -> short., id]}	4	 
goto(1, long)	{[type -> long., id]}	5	 
goto(1, char)	{[type -> char., id]}	6	 
goto(1, float)	{[type -> float., id]}	7	 
goto(1, double)	{[type -> double., id]}	8	 
goto(1, void)	{[type -> void., id]}	9	 
goto(1, unsigned)	{[type -> unsigned.type, id]}	10	 
goto(2, id)	{[function -> type id.( args ) function_body, $/int/short/long/char/float/double/void/unsigned]}	14	{[function -> type id.( args ) function_body, $/int/short/long/char/float/double/void/unsigned]}
goto(10, type)	{[type -> unsigned type., id]}	15	{[type -> unsigned type., id]}
goto(10, int)	{[type -> int., id]}	3	 
goto(10, short)	{[type -> short., id]}	4	 
goto(10, long)	{[type -> long., id]}	5	 
goto(10, char)	{[type -> char., id]}	6	 
goto(10, float)	{[type -> float., id]}	7	 
goto(10, double)	{[type -> double., id]}	8	 
goto(10, void)	{[type -> void., id]}	9	 
goto(10, unsigned)	{[type -> unsigned.type, id]}	10	 
goto(12, functions)	{[functions -> function functions., $]}	16	{[functions -> function functions., $]}
goto(12, function)	{[functions -> function.functions, $]}	12	 
goto(12, $)	{[functions -> $., $]}	13	 
goto(12, type)	{[function -> type.id ( args ) function_body, $/int/short/long/char/float/double/void/unsigned]}	2	 
goto(12, int)	{[type -> int., id]}	3	 
goto(12, short)	{[type -> short., id]}	4	 
goto(12, long)	{[type -> long., id]}	5	 
goto(12, char)	{[type -> char., id]}	6	 
goto(12, float)	{[type -> float., id]}	7	 
goto(12, double)	{[type -> double., id]}	8	 
goto(12, void)	{[type -> void., id]}	9	 
goto(12, unsigned)	{[type -> unsigned.type, id]}	10	 
goto(14, ()	{[function -> type id (.args ) function_body, $/int/short/long/char/float/double/void/unsigned]}	17	{[function -> type id (.args ) function_body, $/int/short/long/char/float/double/void/unsigned]; [args -> .type id arg, )]; [args -> .$, )]; [type -> .int, id]; [type -> .short, id]; [type -> .long, id]; [type -> .char, id]; [type -> .float, id]; [type -> .double, id]; [type -> .void, id]; [type -> .unsigned type, id]}
goto(17, args)	{[function -> type id ( args.) function_body, $/int/short/long/char/float/double/void/unsigned]}	18	{[function -> type id ( args.) function_body, $/int/short/long/char/float/double/void/unsigned]}
goto(17, type)	{[args -> type.id arg, )]}	19	{[args -> type.id arg, )]}
goto(17, $)	{[args -> $., )]}	20	{[args -> $., )]}
goto(17, int)	{[type -> int., id]}	3	 
goto(17, short)	{[type -> short., id]}	4	 
goto(17, long)	{[type -> long., id]}	5	 
goto(17, char)	{[type -> char., id]}	6	 
goto(17, float)	{[type -> float., id]}	7	 
goto(17, double)	{[type -> double., id]}	8	 
goto(17, void)	{[type -> void., id]}	9	 
goto(17, unsigned)	{[type -> unsigned.type, id]}	10	 
goto(18, ))	{[function -> type id ( args ).function_body, $/int/short/long/char/float/double/void/unsigned]}	21	{[function -> type id ( args ).function_body, $/int/short/long/char/float/double/void/unsigned]; [function_body -> .;, $/int/short/long/char/float/double/void/unsigned]; [function_body -> .block, $/int/short/long/char/float/double/void/unsigned]; [block -> .{ define_stmts stmts }, $/int/short/long/char/float/double/void/unsigned]}
goto(19, id)	{[args -> type id.arg, )]}	22	{[args -> type id.arg, )]; [arg -> ., type id arg, )]; [arg -> .$, )]}
goto(21, function_body)	{[function -> type id ( args ) function_body., $/int/short/long/char/float/double/void/unsigned]}	23	{[function -> type id ( args ) function_body., $/int/short/long/char/float/double/void/unsigned]}
goto(21, ;)	{[function_body -> ;., $/int/short/long/char/float/double/void/unsigned]}	24	{[function_body -> ;., $/int/short/long/char/float/double/void/unsigned]}
goto(21, block)	{[function_body -> block., $/int/short/long/char/float/double/void/unsigned]}	25	{[function_body -> block., $/int/short/long/char/float/double/void/unsigned]}
